Post Date,Post Subtype,Post Type,Avg Likes Per Post,Number Of Comments,Number Of Likes,Number Of Posts
06-02-2023,Goal,Visual,0,0,0,3
06-02-2023,Streak,Visual,0.142857143,0,4,28
06-02-2023,Collection,Visual,0.067796610,0,4,59
06-02-2023,Course Certificate,Visual,0.178571429,0,10,56
06-02-2023,Career Track Certificate,Visual,1,0,1,1
07-02-2023,Level,Visual,0.036036036,0,4,111
07-02-2023,Streak,Visual,0.370370370,0,10,27
07-02-2023,Collection,Visual,0.061224490,0,3,49
07-02-2023,Course Certificate,Visual,0.254545455,0,14,55
08-02-2023,Level,Visual,0.008264463,0,1,121
08-02-2023,Streak,Visual,0.142857143,0,3,21
08-02-2023,Collection,Visual,0,0,0,38
08-02-2023,Course Certificate,Visual,0.194444444,0,7,36
08-02-2023,Career Track Certificate,Visual,1,0,1,1
09-02-2023,Level,Visual,0.045112782,0,6,133
09-02-2023,Streak,Visual,0.142857143,0,3,21
09-02-2023,Collection,Visual,0,0,0,51
09-02-2023,Course Certificate,Visual,0.46,0,23,50
09-02-2023,Career Track Certificate,Visual,1,1,1,1
10-02-2023,Level,Visual,0.008196721,0,1,122
10-02-2023,Streak,Visual,0.35,0,7,20
10-02-2023,Collection,Visual,0.029411765,0,1,34
10-02-2023,Course Certificate,Visual,0.171875,0,11,64
11-02-2023,Level,Visual,0.011111111,0,1,90
11-02-2023,Goal,Visual,0.714285714,0,5,7
11-02-2023,Streak,Visual,0.285714286,0,12,42
11-02-2023,Collection,Visual,0,0,0,30
11-02-2023,Course Certificate,Visual,0.148148148,0,8,54
12-02-2023,Text Post,Text Post,1,0,1,1
12-02-2023,Level,Visual,0.018181818,0,2,110
12-02-2023,Goal,Visual,0.447761194,0,30,67
12-02-2023,Streak,Visual,0.125,0,3,24
12-02-2023,Collection,Visual,0.027777778,0,1,36
12-02-2023,Course Certificate,Visual,0.1,0,5,50
13-02-2023,Level,Visual,0.017857143,0,2,112
13-02-2023,Goal,Visual,0.333333333,0,2,6
13-02-2023,Streak,Visual,0.157894737,0,3,19
13-02-2023,Collection,Visual,0.0625,0,3,48
13-02-2023,Course Certificate,Visual,0.014705882,1,1,68
13-02-2023,Career Track Certificate,Visual,1,0,1,1
14-02-2023,Text Post,Text Post,1,1,1,1
14-02-2023,Level,Visual,0.015037594,0,2,133
14-02-2023,Streak,Visual,0.1,0,2,20
14-02-2023,Collection,Visual,0.016393443,0,1,61
14-02-2023,Course Certificate,Visual,0.166666667,0,10,60
15-02-2023,Level,Visual,0.013986014,0,2,143
15-02-2023,Streak,Visual,0.181818182,0,4,22
15-02-2023,Collection,Visual,0,0,0,48
15-02-2023,Course Certificate,Visual,0.171428571,0,12,70
16-02-2023,Text Post,Text Post,1,1,1,1
16-02-2023,Level,Visual,0.007246377,0,1,138
16-02-2023,Streak,Visual,0.130434783,0,3,23
16-02-2023,Collection,Visual,0,0,0,39
16-02-2023,Course Certificate,Visual,0.083333333,0,3,36
17-02-2023,Text Post,Text Post,1,1,1,1
17-02-2023,Level,Visual,0.015151515,0,2,132
17-02-2023,Streak,Visual,0.0625,0,1,16
17-02-2023,Collection,Visual,0,0,0,31
17-02-2023,Course Certificate,Visual,0.25,0,11,44
18-02-2023,Level,Visual,0,0,0,111
18-02-2023,Goal,Visual,0.375,0,3,8
18-02-2023,Streak,Visual,0.083333333,0,2,24
18-02-2023,Collection,Visual,0.054054054,0,2,37
18-02-2023,Course Certificate,Visual,0.333333333,0,13,39
19-02-2023,Text Post,Text Post,1,4,4,4
19-02-2023,Level,Visual,0.026548673,0,3,113
19-02-2023,Goal,Visual,0.451612903,0,28,62
19-02-2023,Streak,Visual,0.25,0,5,20
19-02-2023,Collection,Visual,0,0,0,38
19-02-2023,Course Certificate,Visual,0.390625,0,25,64
19-02-2023,Career Track Certificate,Visual,1,1,2,2
20-02-2023,Text Post,Text Post,1,1,2,2
20-02-2023,Level,Visual,0.048387097,0,6,124
20-02-2023,Goal,Visual,0.142857143,0,1,7
20-02-2023,Streak,Visual,0.222222222,0,4,18
20-02-2023,Collection,Visual,0,0,0,40
20-02-2023,Course Certificate,Visual,0.102040816,0,5,49
20-02-2023,Career Track Certificate,Visual,0,0,0,1
21-02-2023,Text Post,Text Post,1,2,2,2
21-02-2023,Level,Visual,0.026315789,1,4,152
21-02-2023,Streak,Visual,0.185185185,1,5,27
21-02-2023,Collection,Visual,0,0,0,52
21-02-2023,Course Certificate,Visual,0.090909091,0,5,55
21-02-2023,Career Track Certificate,Visual,0.5,1,1,2
